Periode,Tanggal,Riau
1,15/04/2023,14730
2,16/04/2023,14810
3,17/04/2023,14810
4,18/04/2023,14810
5,19/04/2023,14735
6,20/04/2023,14735
7,21/04/2023,14700
8,22/04/2023,14735
9,23/04/2023,14790
10,24/04/2023,14770
11,25/04/2023,14730
12,26/04/2023,14700
13,27/04/2023,14730
14,28/04/2023,14730
15,29/04/2023,14800
16,30/04/2023,14730
17,01/05/2023,14800
18,02/05/2023,14800
19,03/05/2023,14880
20,04/05/2023,14700
21,05/05/2023,14880
22,06/05/2023,14790
23,07/05/2023,14735
24,08/05/2023,14690
25,09/05/2023,14770
26,10/05/2023,14690
27,11/05/2023,14770
28,12/05/2023,14660
29,13/05/2023,14600
30,14/05/2023,14600
31,15/05/2023,14750
32,16/05/2023,14690
33,17/05/2023,14750
34,18/05/2023,14690
35,19/05/2023,14660
36,20/05/2023,14750
37,21/05/2023,14730
38,22/05/2023,14840
39,23/05/2023,14610
40,24/05/2023,14690
41,25/05/2023,14750
42,26/05/2023,14570
43,27/05/2023,14750
44,28/05/2023,14750
45,29/05/2023,14660
46,30/05/2023,14700
47,31/05/2023,14670
48,01/06/2023,14730
49,02/06/2023,14640
50,03/06/2023,14780
51,04/06/2023,14730
52,05/06/2023,14670
53,06/06/2023,14580
54,07/06/2023,14700
55,08/06/2023,14600
56,09/06/2023,14610
57,10/06/2023,14560
58,11/06/2023,14520
59,12/06/2023,14480
60,13/06/2023,14490
61,14/06/2023,14540
62,15/06/2023,14550
63,16/06/2023,14550
64,17/06/2023,14620
65,18/06/2023,14610
66,19/06/2023,14550
67,20/06/2023,14550
68,21/06/2023,14690
69,22/06/2023,14630
70,23/06/2023,14550
71,24/06/2023,14590
72,25/06/2023,14550
73,26/06/2023,14550
74,27/06/2023,14630
75,28/06/2023,14780
76,29/06/2023,14550
77,30/06/2023,14660
78,01/07/2023,14730
79,02/07/2023,14690
80,03/07/2023,14540
81,04/07/2023,14540
82,05/07/2023,14460
83,06/07/2023,14540
84,07/07/2023,14540
85,08/07/2023,14840
86,09/07/2023,14550
87,10/07/2023,14410
88,11/07/2023,14640
89,12/07/2023,14610
90,13/07/2023,14590
91,14/07/2023,14550
92,15/07/2023,14700
93,16/07/2023,14500
94,17/07/2023,14510
95,18/07/2023,14530
96,19/07/2023,14540
97,20/07/2023,14580
98,21/07/2023,14540
99,22/07/2023,14520
100,23/07/2023,14520
101,24/07/2023,14480
102,25/07/2023,14520
103,26/07/2023,14480
104,27/07/2023,14520
105,28/07/2023,14710
106,29/07/2023,14420
107,30/07/2023,14520
108,31/07/2023,14520
109,01/08/2023,14560
110,02/08/2023,14480
111,03/08/2023,14620
112,04/08/2023,14540
113,05/08/2023,14520
114,06/08/2023,14570
115,07/08/2023,14520
116,08/08/2023,14720
117,09/08/2023,14570
118,10/08/2023,14480
119,11/08/2023,14610
120,12/08/2023,14470
121,13/08/2023,14640
122,14/08/2023,14520
123,15/08/2023,14580
124,16/08/2023,14570
125,17/08/2023,14620
126,18/08/2023,14340
127,19/08/2023,14480
128,20/08/2023,14540
129,21/08/2023,14570
130,22/08/2023,14490
131,23/08/2023,14750
132,24/08/2023,14500
133,25/08/2023,14690
134,26/08/2023,14550
135,27/08/2023,14700
136,28/08/2023,14460
137,29/08/2023,14500
138,30/08/2023,14540
139,31/08/2023,14450
140,01/09/2023,14550
141,02/09/2023,14540
142,03/09/2023,14550
143,04/09/2023,14510
