"Periode","Tanggal","Beras Premium","Beras Medium"
"1","31/05/2023","12700","11020"
"2","01/06/2023","12640","11040"
"3","02/06/2023","12730","11100"
"4","03/06/2023","12640","10980"
"5","04/06/2023","12750","11060"
"6","05/06/2023","12680","11010"
"7","06/06/2023","12710","11050"
"8","07/06/2023","12720","10990"
"9","08/06/2023","12720","10980"
"10","09/06/2023","12710","10980"
"11","10/06/2023","12700","10960"
"12","11/06/2023","12700","11050"
"13","12/06/2023","12720","11000"
"14","13/06/2023","12710","10980"
"15","14/06/2023","12760","10980"
"16","15/06/2023","12730","11050"
"17","16/06/2023","12630","10920"
"18","17/06/2023","12680","10950"
"19","18/06/2023","12720","11000"
"20","19/06/2023","12650","10970"
"21","20/06/2023","12650","10960"
"22","21/06/2023","12670","10940"
"23","22/06/2023","12680","10970"
"24","23/06/2023","12660","10990"
"25","24/06/2023","12680","10980"
"26","25/06/2023","12690","10950"
"27","26/06/2023","12730","10980"
"28","27/06/2023","12620","10920"
"29","28/06/2023","12610","10870"
"30","29/06/2023","12680","10960"
"31","30/06/2023","12680","10990"
"32","01/07/2023","12760","11020"
"33","02/07/2023","12640","10940"
"34","03/07/2023","12670","10980"
"35","04/07/2023","12720","11040"
"36","05/07/2023","12740","11040"
"37","06/07/2023","12660","10980"
"38","07/07/2023","12660","10990"
"39","08/07/2023","12700","11050"
"40","09/07/2023","12680","10990"
"41","10/07/2023","12610","10970"
"42","11/07/2023","12640","11000"
"43","12/07/2023","12660","10930"
"44","13/07/2023","12670","10960"
"45","14/07/2023","12710","11010"
"46","15/07/2023","12740","11070"
"47","16/07/2023","12660","11000"
"48","17/07/2023","12700","11050"
"49","18/07/2023","12690","11010"
"50","19/07/2023","12740","10990"
"51","20/07/2023","12730","11030"
"52","21/07/2023","12720","10970"
"53","22/07/2023","12710","11010"
"54","23/07/2023","12720","11060"
"55","24/07/2023","12700","11020"
"56","25/07/2023","12710","11010"
"57","26/07/2023","12730","10990"
"58","27/07/2023","12750","10980"
"59","28/07/2023","12710","11060"
"60","29/07/2023","12820","11090"
"61","30/07/2023","12740","11030"
"62","31/07/2023","12660","10960"
"63","01/08/2023","12690","10990"
"64","02/08/2023","12730","10980"
"65","03/08/2023","12710","10990"
"66","04/08/2023","12730","11080"
"67","05/08/2023","12730","10990"
"68","06/08/2023","12730","11060"
"69","07/08/2023","12750","11050"
"70","08/08/2023","12720","11030"
"71","09/08/2023","12740","11030"
"72","10/08/2023","12760","10990"
"73","11/08/2023","12660","11010"
"74","12/08/2023","12740","11020"
"75","13/08/2023","12690","11020"
"76","14/08/2023","12760","11110"
"77","15/08/2023","12740","11070"
"78","16/08/2023","12790","11150"
"79","17/08/2023","12830","11290"
"80","18/08/2023","12850","11230"
"81","19/08/2023","12840","11170"
"82","20/08/2023","12710","11030"
"83","21/08/2023","12820","11180"
"84","22/08/2023","12760","11140"
"85","23/08/2023","12880","11160"
"86","24/08/2023","12950","11320"
"87","25/08/2023","12960","11310"
"88","26/08/2023","13020","11280"
"89","27/08/2023","13040","11350"
"90","28/08/2023","13070","11440"
"91","29/08/2023","13200","11620"
"92","30/08/2023","13280","11700"
"93","31/08/2023","13360","11700"
"94","01/09/2023","13410","11710"
"95","02/09/2023","13470","11850"
"96","03/09/2023","13510","11770"
"97","04/09/2023","13540","11870"
"98","05/09/2023","13590","11920"
"99","06/09/2023","13680","12070"
"100","07/09/2023","13600","12010"
"101","08/09/2023","13690","12050"
"102","09/09/2023","13690","12090"
"103","10/09/2023","13690","12060"
"104","11/09/2023","13710","12060"
"105","12/09/2023","13710","12100"
