"Periode","Tanggal","Beras Premium","Beras Medium","Kedelai Biji Kering (Impor)","Bawang Merah","Bawang Putih Bonggol","Cabai Merah Keriting","Cabai Rawit Merah","Daging Sapi Murni","Daging Ayam Ras","Telur Ayam Ras","Gula Konsumsi","Minyak Goreng Kemasan Sederhana","Tepung Terigu (Curah)","Minyak Goreng Curah","Jagung Tk Peternak","Ikan Kembung","Ikan Tongkol","Ikan Bandeng","Garam Halus Beryodium","Tepung Terigu Kemasan (non-curah)"
"1","31/05/2023","13940","11810","14270","31020","35430","28430","42290","147340","36840","28920","14470","16340","11700","14670","7470","42180","37680","37220","10140","14520"
"2","01/06/2023","13920","11950","14490","31020","36190","27740","43090","148030","37320","28960","14510","16470","11670","14730","7430","42480","37260","37220","9800","14480"
"3","02/06/2023","13830","11710","14240","31490","35440","28210","43560","146240","36460","29100","14510","16280","11760","14640","7410","43260","37850","37220","9990","14480"
"4","03/06/2023","13780","11910","14280","31610","36850","28570","43090","146540","36550","29130","14620","16430","11510","14780","7340","43740","37850","37900","9710","14310"
"5","04/06/2023","13840","11970","14360","30690","36210","28710","40160","148030","37380","28820","14510","16470","11570","14730","7010","43020","37660","37220","9840","14440"
"6","05/06/2023","13850","11780","14190","31020","35660","29110","44720","147340","36600","28750","14480","16270","11910","14670","7460","42660","38250","37220","10070","14560"
"7","06/06/2023","13860","11790","14110","30770","36000","29090","44720","147340","36650","28750","14470","16270","11700","14580","7570","38780","39090","37900","10030","14350"
"8","07/06/2023","13850","11790","14110","31100","35730","29050","44720","147340","36780","28780","14510","16230","11770","14700","7580","43160","38610","37380","10000","14400"
"9","08/06/2023","13730","11880","14400","31510","36710","28870","46420","146880","37410","29160","14510","16280","12020","14600","7540","43120","37670","37900","9650","14330"
"10","09/06/2023","13910","11800","14080","32060","35900","29390","44720","147100","36260","28680","14450","16340","11510","14610","7540","43730","39250","37760","10040","14390"
"11","10/06/2023","13710","11920","14260","31680","36330","28930","44810","148340","37200","28850","14360","16280","11640","14560","7590","43020","38490","37900","9780","14380"
"12","11/06/2023","13740","11640","14080","33320","36400","29770","44720","146240","36980","29150","14460","16160","11850","14520","7540","43370","38080","37900","9950","14390"
"13","12/06/2023","13620","11610","14040","33810","36780","30870","46060","145840","37010","29260","14480","15990","11830","14480","7540","43400","38560","38340","9990","14380"
"14","13/06/2023","13850","11790","14110","34660","36120","31140","46060","147340","37310","28900","14400","16150","11920","14490","7590","43340","38700","37380","10070","14440"
"15","14/06/2023","13840","11970","14320","33630","36240","30860","48270","148030","37720","28620","14430","16260","11670","14540","7600","43180","38470","37220","9920","14390"
"16","15/06/2023","13850","11800","14110","34170","36170","31240","46060","147340","36750","28480","14400","16150","11770","14550","7590","43190","39050","38340","10140","14440"
"17","16/06/2023","13850","11955","14190","34590","36260","30900","46060","147340","36920","28320","14460","16150","11700","14550","7590","42760","38960","37380","10140","14400"
"18","17/06/2023","13810","11885","14450","33760","36460","30720","47430","147670","38630","29060","14510","16330","11820","14620","7510","42420","35960","31750","9480","14350"
"19","18/06/2023","13780","11660","14040","35470","36800","30470","47380","146370","37080","28880","14360","15990","11830","14610","7760","43520","39380","37220","10200","14430"
"20","19/06/2023","13800","11770","13980","34810","36490","30710","44720","147560","36810","28160","14330","16130","11480","14550","7500","43080","39320","37220","10110","14390"
"21","20/06/2023","13840","11730","14130","35050","36220","30460","46060","147100","37540","28290","14420","16200","11570","14550","7550","43470","40270","38310","10180","13950"
"22","21/06/2023","13840","11960","14320","35420","36470","30460","46420","148490","37540","28020","14420","16360","11670","14690","7600","43320","38080","42510","9920","14160"
"23","22/06/2023","13850","11800","14070","35210","36430","29620","46060","147760","37280","28520","14460","16240","11600","14630","7500","43130","38640","43600","9760","14440"
"24","23/06/2023","13640","11815","13930","35600","36320","29140","46060","146370","37520","28900","14360","16090","11530","14550","7450","42560","38200","37820","10040","14380"
"25","24/06/2023","13840","11970","14230","34480","36480","29120","44810","148490","37060","28200","14510","16250","11910","14590","7600","42530","38600","37300","9960","14390"
"26","25/06/2023","13680","11700","13990","34310","36840","30180","45940","146370","37330","29200","14560","16000","11630","14550","7450","43640","38650","37720","10020","14530"
"27","26/06/2023","13830","11650","13990","36200","36840","30350","41600","148480","37170","29060","14360","16090","11530","14550","7450","41430","37160","36750","9370","14340"
"28","27/06/2023","13880","11830","14160","36030","36860","34120","49490","147760","37020","28790","14380","16240","11500","14630","7550","43380","39090","36630","10180","14540"
"29","28/06/2023","13870","11810","14410","36480","37550","37430","52410","149910","38210","28340","14420","16360","11670","14780","7600","43810","38970","37300","9960","14590"
"30","29/06/2023","13670","11650","13990","36920","37290","38120","45800","146370","37660","29050","14460","16190","11530","14550","7510","43060","38300","37900","10040","14580"
"31","30/06/2023","13730","11880","14400","36070","37190","39430","53280","147380","38060","29240","14560","16400","11740","14660","7560","43380","37350","37900","9860","14510"
"32","01/07/2023","14000","11950","14040","38010","38260","43550","47910","148150","37940","28720","14510","16340","11610","14730","7450","44100","38270","32520","9760","14310"
"33","02/07/2023","13910","11810","14120","38000","38370","43100","48040","147560","36590","28160","14420","16450","11320","14690","7510","43320","39000","38310","10200","14480"
"34","03/07/2023","13850","11790","14190","37500","39500","41470","47170","146970","37120","28340","14380","16230","11520","14540","7530","43370","39040","37900","10180","14650"
"35","04/07/2023","13850","11790","14190","38310","40460","43960","47170","147340","36980","28340","14380","16150","11420","14540","7530","43370","38080","38340","10180","14630"
"36","05/07/2023","13840","11800","14150","37690","40720","42750","49590","147340","36700","28310","14380","16075","11520","14460","7530","43800","38080","37900","10180","14630"
"37","06/07/2023","13840","11790","14110","37000","40150","43370","49370","147340","36880","28230","14460","16230","11590","14540","7530","43030","38480","38310","10180","14650"
"38","07/07/2023","13840","11800","14150","37160","40020","43080","51400","147340","36390","28140","14380","16250","11420","14690","7490","43030","39040","37900","10180","14650"
"39","08/07/2023","13620","11880","14400","37330","41470","46850","51300","146880","36700","28540","14460","16300","11740","14840","7540","44000","38010","37220","9860","14580"
"40","09/07/2023","13650","11880","14450","37580","40980","45760","52960","146880","36640","28540","14560","16300","11740","14550","7490","43460","39100","37220","9770","14580"
"41","10/07/2023","13680","11690","14170","37890","41210","45710","52200","146240","36010","28690","14510","16180","11460","14410","7430","43510","39110","37760","10020","14620"
"42","11/07/2023","13760","11780","14130","38270","41500","44860","49370","147100","36200","28050","14370","16270","11410","14640","7620","43020","39150","38310","10140","14380"
"43","12/07/2023","13860","11800","14150","37350","41130","44060","52200","147250","36080","28230","14420","16250","11460","14610","7430","42570","38950","37900","10130","14600"
"44","13/07/2023","13820","11970","14280","37720","41160","43100","52960","148030","36080","28080","14550","16370","11670","14590","7540","43230","38080","37220","9900","14620"
"45","14/07/2023","13910","11910","14080","37010","40250","42300","52960","147830","37120","28590","14510","16110","11500","14550","7440","42380","37380","33640","9790","14380"
"46","15/07/2023","13840","11740","14070","36670","39640","41350","51960","147340","35330","28150","14460","16250","11420","14700","7360","42430","38640","37900","10130","14650"
"47","16/07/2023","13710","11640","14080","37680","39990","43910","51310","146240","34490","28870","14500","16180","11460","14500","7410","43100","38030","37760","10050","14620"
"48","17/07/2023","13700","11650","13990","36980","39950","44710","50100","145870","34070","28090","14600","16300","11350","14510","7440","42810","38660","37300","10060","14580"
"49","18/07/2023","13660","11610","14080","36350","39960","44250","49490","146240","33860","28920","14560","16180","11360","14530","7480","42690","38010","40000","10050","14620"
"50","19/07/2023","13630","11790","14300","35040","39950","42820","47620","146880","33790","28910","14620","16300","11630","14540","7480","42790","37380","40730","9800","14580"
"51","20/07/2023","13840","11890","14080","36010","39860","41940","48060","148030","34740","28300","14500","16270","11570","14580","7430","41870","37100","36960","9870","14570"
"52","21/07/2023","13670","11890","14210","34990","40240","40700","46740","148340","33510","28000","14410","16300","11580","14540","7530","43410","38530","40000","9890","14570"
"53","22/07/2023","13770","11700","14080","34830","39520","40870","47540","147340","33680","28480","14420","16250","11510","14520","7520","42600","38700","40000","10190","14600"
"54","23/07/2023","13690","11850","14210","34960","40050","40300","46050","148340","33310","27980","14410","16300","11620","14520","7570","43590","38330","37220","9890","14570"
"55","24/07/2023","13830","11730","14160","34440","40130","39080","45120","147100","32880","28110","14460","16370","11360","14480","7480","43250","38940","40730","10210","14570"
"56","25/07/2023","13810","11720","14150","33510","38960","37440","44920","147340","32330","28070","14420","16250","11560","14520","7350","43030","38550","39980","10190","14650"
"57","26/07/2023","13710","11620","14170","32690","39470","37770","46000","146240","31130","28390","14460","16180","11660","14480","7430","42860","37740","40490","10210","14620"
"58","27/07/2023","13810","11720","14150","32860","39080","38680","45360","147340","31050","27770","14500","16250","11600","14520","7480","42530","38370","40560","10190","14650"
"59","28/07/2023","13770","11685","14210","32490","37900","38510","43990","147830","31720","28180","14600","16210","11630","14710","7570","43120","37970","39970","9890","14680"
"60","29/07/2023","13630","11530","13940","32080","38790","36280","40400","146370","30740","28640","14450","16100","11630","14420","7370","42670","37960","40390","10130","14630"
"61","30/07/2023","13680","11740","14210","32140","38140","37640","43340","146880","30620","28640","14550","16300","11630","14520","7470","42540","37310","41700","9800","14580"
"62","31/07/2023","13810","11690","14070","31570","38740","35230","42720","147340","29810","27880","14540","16250","11600","14520","7430","42380","38110","40490","10190","14650"
"63","01/08/2023","13820","11690","14030","31420","38550","35260","42720","147340","29730","27760","14460","16250","11600","14560","7330","42060","38540","41360","10190","14650"
"64","02/08/2023","13820","11885","14110","31110","38530","34140","41840","147340","29370","27760","14460","16250","11600","14480","7330","41950","38290","41700","10190","14650"
"65","03/08/2023","13890","11890","14210","31190","38000","34260","42820","148860","29560","27720","14470","16400","11630","14620","7360","41440","36190","36130","9530","14530"
"66","04/08/2023","13870","11710","13950","30660","39400","35090","42620","147100","28630","27490","14470","16370","11410","14540","7280","41840","39250","41480","10210","14570"
"67","05/08/2023","13820","11740","13810","31170","37890","34000","41380","147340","28580","28350","14430","16250","11600","14520","7330","42000","38280","40390","10190","14650"
"68","06/08/2023","13740","11810","13990","30060","38150","36980","41860","146880","27600","28420","14520","16300","11630","14570","7360","42080","37500","41010","9800","14200"
"69","07/08/2023","13880","11690","13850","30350","38130","36830","42110","147340","28090","28140","14430","16000","11600","14520","7330","42250","38690","41010","10190","14600"
"70","08/08/2023","13810","11650","13840","30450","38080","40330","45410","146240","27560","28730","14470","16175","11660","14720","7330","41790","39460","43900","10120","14620"
"71","09/08/2023","13890","11930","14080","30640","37540","41620","46260","148030","27740","28070","14470","16370","11570","14570","7420","42290","39510","41010","9900","14620"
"72","10/08/2023","13800","11730","13800","30410","37810","41140","45940","147560","28430","27680","14470","16180","11580","14480","7340","41740","39860","41870","10160","14660"
"73","11/08/2023","13890","11780","14080","29820","38080","41350","46260","148030","28530","28070","14430","16370","11540","14610","7430","41910","39320","42210","9860","14580"
"74","12/08/2023","13700","11630","13730","28920","37820","41340","45940","146370","28360","28560","14340","16275","11590","14470","7280","41770","39590","42210","10080","14560"
"75","13/08/2023","13860","11870","13930","28800","37260","41520","44810","146540","27570","28630","14520","16362.5","11330","14640","7380","43000","39010","43240","9720","14450"
"76","14/08/2023","13950","11760","13730","29580","38060","43040","46260","149440","28220","27880","14270","16100","11530","14520","7380","41140","39480","41490","9920","14450"
"77","15/08/2023","13740","11770","14060","29100","37470","41740","43590","146540","29630","28120","14520","16060","11530","14580","7290","42410","39800","41480","9830","14490"
"78","16/08/2023","13930","11820","13720","28900","37860","43430","49370","145870","28070","28590","14500","16190","11450","14570","7240","41390","39390","41010","10230","14540"
"79","17/08/2023","13860","11980","14000","29260","37530","44420","45980","148340","29090","27390","14340","16210","11530","14620","7410","41510","39810","41010","9990","14590"
"80","18/08/2023","13850","11980","14240","28850","37710","44130","46610","148150","30070","27390","14470","15910","11600","14340","7580","42720","40370","40280","9900","14660"
